timestamp,test_module,test_name,initial_threads,final_threads,thread_change,leaked_threads,new_thread_names,closed_thread_names,duration_seconds
2025-09-26T19:20:25.971487,dimos.perception.detection2d.type.test_detection2d,test_bbox_center_calculation,17,17,0,0,,,0.000519
2025-09-26T19:20:25.972710,dimos.perception.detection2d.type.test_detection2d,test_cropped_image,17,17,0,0,,,0.000546
2025-09-26T19:20:25.973870,dimos.perception.detection2d.type.test_detection2d,test_to_ros_bbox,17,17,0,0,,,0.000509
2025-09-26T19:20:25.974983,dimos.perception.detection2d.type.test_detection2d,test_to_text_annotation,17,17,0,0,,,0.00062
2025-09-26T19:20:25.976220,dimos.perception.detection2d.type.test_detection2d,test_to_points_annotation,17,17,0,0,,,0.000592
2025-09-26T19:20:25.977374,dimos.perception.detection2d.type.test_detection2d,test_to_image_annotations,17,17,0,0,,,0.000507
2025-09-26T19:20:25.978560,dimos.perception.detection2d.type.test_detection2d,test_to_repr_dict,17,17,0,0,,,0.000461
2025-09-26T19:20:26.149543,dimos.perception.detection2d.type.test_detection2d,test_image_detections2d_properties,17,17,0,0,,,0.000849
2025-09-26T19:20:26.151239,dimos.perception.detection2d.type.test_detection2d,test_ros_detection2d_conversion,17,17,0,0,,,0.000629
2025-09-26T19:20:26.399438,dimos.perception.detection2d.type.test_detection3d,test_oriented_bounding_box,19,19,0,0,,,0.001212
2025-09-26T19:20:26.403431,dimos.perception.detection2d.type.test_detection3d,test_bounding_box_dimensions,19,19,0,0,,,0.002155
2025-09-26T19:20:26.406459,dimos.perception.detection2d.type.test_detection3d,test_axis_aligned_bounding_box,19,19,0,0,,,0.00198
2025-09-26T19:20:26.409517,dimos.perception.detection2d.type.test_detection3d,test_point_cloud_properties,19,19,0,0,,,0.001458
2025-09-26T19:20:26.411785,dimos.perception.detection2d.type.test_detection3d,test_foxglove_scene_entity_generation,19,19,0,0,,,0.000818
2025-09-26T19:20:26.413347,dimos.perception.detection2d.type.test_detection3d,test_foxglove_cube_properties,19,19,0,0,,,0.000753
2025-09-26T19:20:26.414814,dimos.perception.detection2d.type.test_detection3d,test_foxglove_text_label,19,19,0,0,,,0.000662
2025-09-26T19:20:26.416170,dimos.perception.detection2d.type.test_detection3d,test_detection_pose,19,19,0,0,,,0.001394
2025-09-26T19:20:26.418527,dimos.perception.detection2d.type.test_detection3d_filters,test_module3d,19,27,8,8,Thread-12 (_loop)|Thread-13 (_loop)|Thread-14 (_loop)|Thread-15 (_loop)|Thread-16 (_loop)|Thread-17 (_loop)|Thread-18 (_loop)|Thread-19 (_loop),,1.036356
2025-09-26T19:20:29.120195,dimos.perception.detection2d.type.test_object3d,test_object_db_module_populated,33,33,0,0,,,0.000819
2025-09-26T19:20:29.124424,dimos.perception.detection2d.type.test_object3d,test_object_db_module_objects_structure,33,33,0,0,,,0.001596
2025-09-26T19:20:29.127647,dimos.perception.detection2d.type.test_object3d,test_object3d_properties,33,33,0,0,,,0.00145
2025-09-26T19:20:29.130688,dimos.perception.detection2d.type.test_object3d,test_object3d_multiple_detections,33,33,0,0,,,0.001471
2025-09-26T19:20:29.133662,dimos.perception.detection2d.type.test_object3d,test_object3d_center,33,33,0,0,,,0.001336
2025-09-26T19:20:29.136447,dimos.perception.detection2d.type.test_object3d,test_object3d_repr_dict,33,33,0,0,,,0.001453
2025-09-26T19:20:29.139609,dimos.perception.detection2d.type.test_object3d,test_object3d_scene_entity_label,33,33,0,0,,,0.001608
2025-09-26T19:20:29.142783,dimos.perception.detection2d.type.test_object3d,test_object3d_agent_encode,33,33,0,0,,,0.001384
2025-09-26T19:20:29.145739,dimos.perception.detection2d.type.test_object3d,test_object3d_image_property,33,33,0,0,,,0.0014
2025-09-26T19:20:29.148600,dimos.perception.detection2d.type.test_object3d,test_object3d_addition,33,33,0,0,,,0.002081
2025-09-26T19:20:29.152207,dimos.perception.detection2d.type.test_object3d,test_image_detections3d_scene_update,33,33,0,0,,,0.002095
2025-09-26T20:21:19.162369,dimos.perception.detection2d.test_module2d,test_module2d_visual_query,2,4,2,2,Thread-2 (run_forever)|Thread-3 (_loop),,0.046279
2025-09-26T20:21:20.639690,dimos.perception.detection2d.test_module2d,test_module2d_visual_query,2,4,2,2,Thread-2 (run_forever)|Thread-3 (_loop),,0.053032
2025-09-26T20:21:30.053177,dimos.perception.detection2d.test_module2d,test_module2d_visual_query,1,3,2,2,Thread-1 (run_forever)|Thread-2 (_loop),,0.043413
2025-09-26T20:21:38.089866,dimos.perception.detection2d.test_module2d,test_module2d_visual_query,1,3,2,2,Thread-1 (run_forever)|Thread-2 (_loop),,0.050572
2025-09-26T20:21:38.288569,dimos.perception.detection2d.test_module2d,test_module2d_visual_query,1,3,2,2,Thread-1 (run_forever)|Thread-2 (_loop),,0.052931
2025-09-26T20:22:04.531708,dimos.perception.detection2d.test_module2d,test_module2d_visual_query,1,3,2,2,Thread-1 (run_forever)|Thread-2 (_loop),,0.048774
2025-09-26T20:22:07.135074,dimos.perception.detection2d.test_module2d,test_module2d_visual_query,1,3,2,2,Thread-1 (run_forever)|Thread-2 (_loop),,0.048978
2025-09-26T20:22:18.495641,dimos.perception.detection2d.test_module2d,test_module2d_visual_query,1,3,2,2,Thread-1 (run_forever)|Thread-2 (_loop),,0.060841
2025-09-26T20:23:09.921510,dimos.perception.detection2d.test_module2d,test_module2d_visual_query,1,3,2,2,Thread-1 (run_forever)|Thread-2 (_loop),,1.346129
